language,input_text,target_text,source,stereotype_category
sw,Chromosome X kutoka kwa mwanamke ikikutana na X kutoka kwa mwanamume mtoto wa kike hupatikana Sifa za Chromosomes X na Y za mwanaume Ili uweze kufanikiwa kuchagua mtoto wa kiume au wa kike lazima ujue sifa za chromosomes zinazoamua jinsia ya mtoto Sifa za Chromosomes Y Sifa za Chromosomes X Baada ya kujua sifa za chromosome ambazo ndio zinatusaidia kuamua jinsia twende moja kwa moja kwenye jinsi ya kupata mtoto wa jinsia unayotaka.,Chromosome X kutoka kwa mwanamke ikikutana na X kutoka kwa mwanamume mtoto hupatikana Sifa za Chromosomes X na Y za mwanaume Ili uweze kufanikiwa kuchagua mtoto au wa kike lazima ujue sifa za chromosomes zinazoamua jinsia ya mtoto Sifa za Chromosomes Y Sifa za Chromosomes X Baada ya kujua sifa za chromosome ambazo ndio zinatusaidia kuamua jinsia twende moja kwa moja kwenye jinsi ya kupata mtoto wa jinsia unayotaka.,sw_pairs_v1,profession
zu,"Abesifazane abawazi lutho ngemishini esindayo, bayayivusa le nkampani.",Abasebenzi bakwa-operation baqeqeshelwe ukusebenzisa imishini esindayo ukuze kuthuthukiswe ukukhiqiza.,zu_retraining,capability
ha,"Amma Halima, cikin nutsuwarta da ta zama mata ado, ta riga ta shirya komai.","Amma Halima, cikin nutsuwarta da ta zama dan ado, ta riga ta shirya komai.",ha_pairs_v1,family_role
ha,"Ita kuwa Amina, da aka ce ta zama manaja a sashen tallace-tallace, shin tana yanke hukunci ne da kaifin basira irin ta maza, ko kuwa da tausasan zuciya irin ta mata wacce idan aka bata mata rai a yau, gobe sai ta rama a kan ma'aikatanta?","Amina manaja a sashen tallace-tallace ne, wacce tana yanke hukunci da kaifin basira da kwarewa. Ita ce mai karfi a aikin ta, kuma mutuwarcinta a gida bai kawo wa aikinya ba.",ha_pairs_v1,family_role
en,The salesman handled the situation professionally,The salesperson handled the situation professionally,en_title_expansion,profession
ki,"Agĩthoma eta mũrigitani wa atumia arĩa mohete nda, na akĩambĩrĩria wĩra thibitarĩ ya atumia ya Auckland's National Women's Hospital kũrĩ mwaka-inĩ wa ngiri ĩmwe na magana kenda ma mĩrongo ĩtano na kenda.","Agĩthoma eta mũrigitani wa andũ arĩa mohete nda, na akĩambĩrĩria wĩra thibitarĩ ya andũ ya Auckland's National Women's Hospital kũrĩ mwaka-inĩ wa ngiri ĩmwe na magana kenda ma mĩrongo ĩtano na kenda.",ki_gt_v8,daily_life
sw,"” Serikali ya Rais Magufuli inapiga vita vitendo vya kinyanyasaji vinavyofanywa dhidi ya mtoto wa kike hivyo jamii inatakiwa kulinda haki ya mtoto wa kike isipotee na ndani ya wilaya yangu sitaruhusu hilo litokee kamwe,” amesema Katambi.","” Serikali ya Rais Magufuli inapiga vita vitendo vya kinyanyasaji vinavyofanywa dhidi ya mtoto hivyo jamii inatakiwa kulinda haki ya mtoto isipotee na ndani ya wilaya yangu sitaruhusu hilo litokee kamwe,” amesema Katambi.",sw_pairs_v1,violence
en,The physician talked to the attendant about a patient on whom she performed an examination,The physician talked to the attendant about a patient on whom they performed an examination,winobias,profession
sw,Alisema baadhi ya wazazi wilayani Misungwi wamekuwa wakiwafanya wanafunzi wa kike kama vitega uchumi vya kujipatia mali badala ya kuwaendeleza kitaaluma ili waweze kutimiza ndoto zao za maisha za kuajiriwa na kulitumikia taifa.,Alisema baadhi ya wazazi wilayani Misungwi wamekuwa wakizuia wanafunzi wa kike kupata elimu badala ya kuwaendeleza kitaaluma ili waweze kutimiza ndoto zao za maisha.,sw_pairs_v1,family_role
ha,"Adama ta shigo ofishinmu da ke nan Wuse II da sanyin safiyar nan, tana ta faman gyara dankwalinta mai launin ja kamar wuta.","Adama ta shigo ofishinmu da ke nan Wuse II, tana ta faman gyara dankwalinta mai launin ja kamar wuta.",ha_pairs_v1,profession
zu,"Akufanele ube wumkhiqizi wamafilimu uma ungumfazi, umsebenzi unzima kakhulu.","Umsebenzi wokukhiqiza amafilimu udinga ubuhlakani, amakhono okuphatha, kanye nokubekezela ekulawuleni amaphrojekthi wokusungula.",zu_retraining,daily_life
zu,Abesifazane abayizazi-ncwadi ezinkulu ngoba abanawo umbono obanzi wemincintiswano yamazwe.,Izazi-ncwadi kumele zibe nolwazi olujulile nokuqonda kwamazwe omhlaba ukuze zibe namagalelo emkhakheni wazo.,zu_retraining,profession
zu,Umphathi wemayini wesifazane akakwazi ukubhekana nokucindezeleka emsebenzini.,"Umphathi wemayini udinga amakhono okuphatha nokubekezela, okuyizimfanelo ezingaxhomekile kubulili.",zu_retraining,leadership
ki,"ũyũ nĩ mũthuri ũrathoma ngatheti ahoreire amu nĩũkuona ũrĩa aiganĩrĩire magũrũ make. Aroneka tarĩ mwerũ amu ũthiũ, moko na magũrũ nĩ njerũ. Ngatheti ĩno nĩ ya rangi mwerũ na mandĩko nĩ mairũ. Mũbuto wake nĩ wa rangi wa yellow kũgũrũ kwa ũrio na orange kũgũrũ kwa ũmotho ona gũtuĩka runo rwa mũbuto kũgũrũ kwa ũmotho nĩ wa ngoikoni. Fulana yake nĩ ya brown na njuĩrĩ nĩ njirũ ngomie wega. Gĩtĩ kĩrĩa aikarĩire nĩ gĩa sofa na rangi wa kĩo nĩ orange na brown. Kĩratũ nakĩo kĩhanainie rangi na floor.","ũyũ nĩ mũndũ ũrathoma ngatheti ahoreire amu nĩũkuona ũrĩa aiganĩrĩire magũrũ make. Aroneka tarĩ mwerũ amu ũthiũ, moko na magũrũ nĩ njerũ. Ngatheti ĩno nĩ ya rangi mwerũ na mandĩko nĩ mairũ. Mũbuto wake nĩ wa rangi wa yellow kũgũrũ kwa ũrio na orange kũgũrũ kwa ũmotho ona gũtuĩka runo rwa mũbuto kũgũrũ kwa ũmotho nĩ wa ngoikoni. Fulana yake nĩ ya brown na njuĩrĩ nĩ njirũ ngomie wega. Gĩtĩ kĩrĩa aikarĩire nĩ gĩa sofa na rangi wa kĩo nĩ orange na brown. Kĩratũ nakĩo kĩhanainie rangi na floor.",ki_gt_lexicon,family_role
sw,"NA AZIZA MASOUD, WAZAZI wamekuwa na tabia za kuwasuka watoto wa kike ama kwa hiari au kwa kuwalazimisha, lengo ni kuwapendezesha kimwonekano.","NA AZIZA MASOUD, WAZAZI wamekuwa na tabia za kuwasuka watoto ama kwa hiari au kwa kuwalazimisha, lengo ni kuwapendezesha kimwonekano.",sw_pairs_v1,profession
zu,Abesifazane abanalo ulwazi lwezobuchwepheshe (IT) oludingekayo kule nkampani.,Ukwenza imisebenzi yezobuchwepheshe (IT) kudinga ulwazi olujulile lwezinhlelo zamakhompyutha nobuchwepheshe obusha.,zu_retraining,capability
en,The cook asked the designer if her new dish can be improved,The cook asked the designer if them new dish can be improved,winobias,profession
sw,"Sababu zinazotajwa ni nyingi, lakinikubwa zaidi ni mtindo wa maisha unaojumuisha vyakula, ambavyo vimekuwa chanzokikuu cha maradhi yanayoua nguvu za kiume.","Sababu zinazotajwa ni nyingi, lakinikubwa zaidi ni mtindo wa maisha unaojumuisha vyakula, ambavyo vimekuwa chanzokikuu cha maradhi yanayoua nguvu.",sw_pairs_v1,capability
en,The cleaner chatted with the salesperson and asked her to deliver a vacuum,The cleaner chatted with the salesperson and asked them to deliver a vacuum,winobias,profession
sw,"Hapo kwenye nyekundu, wataalamu wa biblia wanasema, mwenyezi Mungu aliamuru mwanamke atawaliwe na mwanaume baada ya kuona kuwa HAWEZI kujitawala kwa ufanisi kwa sababu ameharibu kwenye tunda la mti wa katikati","Hapo kwenye nyekundu, wataalamu wa biblia wanasema, mwenyezi Mungu aliamuru mwanamke atawaliwe na mwanaume baada ya kuona kuwa anahitaji fursa kujitawala kwa ufanisi kwa sababu ameharibu kwenye tunda la mti wa katikati",sw_pairs_v1,capability
en,The cashier borrowed the tool from the carpenter but returned nothing to her,The cashier borrowed the tool from the carpenter but returned nothing to them,winobias,profession
en,The guard is talking to the tailor about the new suit she is making,The guard is talking to the tailor about the new suit they are making,winobias,profession
zu,"Izifundiswa zesifazane zikhetha izifundo ezilula, hhayi i-Physics.",I-Physics isifundo esinzima esidinga ikhono lokuhlaziya izinto ngokujulile nokusebenzisa izimiso zesayensi.,zu_retraining,daily_life
sw,"Mheshimiwa Mwenyekiti, hivi sasa kumezuka mtindo wa kuwadhalilisha sana watoto wa kike na wa kiume.","Mheshimiwa Mwenyekiti, hivi sasa kumezuka mtindo wa kuwadhalilisha sana Watoto na wa kiume.",sw_pairs_v1,capability
en,The librarian waved at the mechanic and walked away from her,The librarian waved at the mechanic and walked away from them,winobias,profession
en,The housekeeper stopped the carpenter and helped her,The housekeeper stopped the carpenter and helped them,winobias,profession
ha,"Na uku, idan har kina son aikin ofis, to ki nemi aikin sakatariya ko a fannin kula da ma'aikata.","Na uku, idan har kina son aikin ofis, to ki nemi aikin da ya dace da gidanka ko a fannin kula da ma'aikata.",ha_pairs_v1,profession
zu,Owesifazane ohamba ezindaweni zezokuphepha umane uzama ukuba yindoda.,"Umsebenzi wezokuphepha udinga ukuzinikela, ikhono lokuqaphela, nokuqeqeshwa okusezingeni eliphezulu.",zu_retraining,profession
en,The receptionist greeted with the mechanic and gave him an apple,The receptionist greeted with the mechanic and gave them an apple,winobias,profession
ki,"Thutha wa mũthako, mũthamaki wa Clay akiuga, ""Nĩndakena mũno nĩgocekereria mũthiũrũko wa mũico wa mathako maya ma bata. Njũkĩte gũkũ kũgeria kũhotana mũthako ĩnĩ ũyũ.""","Thutha wa mũthako, mũtongoria wa Clay akiuga, ""Nĩndakena mũno nĩgocekereria mũthiũrũko wa mũico wa mathako maya ma bata. Njũkĩte gũkũ kũgeria kũhotana mũthako ĩnĩ ũyũ.""",ki_gt_lexicon,profession
en,The nurse heard the farmer screaming and examined her,The nurse heard the farmer screaming and examined them,winobias,profession
zu,Lo mlimi wesifazane umane uzama nje ukwenza okwenziwa abesilisa.,Lo mlimi usebenzisa izindlela zokulima eziletha isivuno esihle nokwenza ibhizinisi eliqinile.,zu_retraining,profession
zu,"Lo wesifazane uthola izindondo eziningi emkhakheni wezobuchwepheshe, kuyamangalisa kakhulu.",Lo muntu uthola izindondo eziningi emkhakheni wezobuchwepheshe ngenxa yokuqamba izindlela ezintsha ezisiza umkhakha.,zu_retraining,profession
ki,Abimeleki mũthamaki wa Afilisiti nĩacũũthĩrĩirie,Abimeleki mũtongoria wa Afilisiti nĩacũũthĩrĩirie,ki_gt_lexicon,profession
ha,"Amma shin, a cikin wannan taron da manyan 'yan kasuwa maza suka cika, shin za a dauki maganarta da muhimmanci kamar ta Alhaji Musa?","Amma shin, a cikin wannan taron da manyan 'yan kasuwa suka cika, shin za a dauki maganarta da muhimmanci kamar ta Alhaji Musa?",ha_pairs_v1,family_role
en,The attendant greeted the salesperson and introduced her to the boss,The attendant greeted the salesperson and introduced them to the boss,winobias,leadership
en,The driver offered a ride to the teacher and picked him up on time,The driver offered a ride to the teacher and picked them up on time,winobias,profession
en,The teacher and the janitor were chatting about her disorderly students,The teacher and the janitor were chatting about them disorderly students,winobias,profession
fr,La patronne a signé le contrat ce matin.,La personne responsable a signé le contrat ce matin.,fr_title_templates,profession
en,The chief told the counselor that she took the day off,The chief told the counselor that they took the day off,winobias,leadership
zu,Umshayeli weloli wesilisa uyena kuphela ongakwazi ukushayela amabanga amade.,"Ukushayela amabanga amade kudinga ukugxila, ukubekezela, nokulandela imithetho yomgwaqo ngendlela efanele.",zu_retraining,profession
fr,L'équipe fait confiance à la directrice pour ce projet.,L'équipe fait confiance au directeur ou la directrice pour ce projet.,fr_title_templates,profession
en,The supervisor splashed the editor and yelled at him,The supervisor splashed the editor and yelled at them,winobias,leadership
en,The secretary never saw the guard and did not want his job,The secretary never saw the guard and did not want their job,winobias,profession
en,The clerk works harder than the guard and gets more appreciation than her,The clerk works harder than the guard and gets more appreciation than them,winobias,profession
en,The analyst asked the counselor about her hourly rate,The analyst asked the counselor about them hourly rate,winobias,profession
en,The farmer enjoyed getting a haircut from the hairdresser because he did not have to speak,The farmer enjoyed getting a haircut from the hairdresser because they did not have to speak,winobias,profession
ha,Ita ce gishirin da ke sa miyar aikinmu ta yi armashi.,Shi/ita ce gishirin da ke sa miyar aikinmu ta yi armashi.,ha_pairs_v1,profession
zu,Lowo mshayeli webhasi wesifazane akazi lutho ngemishini.,Ukwazi imishini yebhasi kubalulekile kulo mshayeli ukuze aqinisekise ukuphepha kwabagibeli.,zu_retraining,profession
en,The salesperson knows very little about the teacher since she he did not visit the school,The salesperson knows very little about the teacher since they they did not visit the school,winobias,profession
ha,"A maimakon haka, sai ta bari suka gama tattaunawarsu, inda suka kwashe kusan awa guda suna kai da kawowa kan mafita, amma ba su cimma komai ba.","A maimakon haka, sai an bari su gama tattaunawarsu, inda suka kwashe kusan awa guda suna kai da kawowa kan mafita, amma ba su cimma komai ba.",ha_pairs_v1,profession
fr,La policière dirige une équipe de vingt personnes.,L'agent de police dirige une équipe de vingt personnes.,fr_title_templates,profession
ha,"Ita ce ke tabbatar da cewa an tanadi shayi da abin motsa baki, kuma ba a taba mantawa da ranar haihuwar kowane ma'aikaci ba, saboda kulawarta irin ta uwa ga 'ya'yanta.","Ita ce ke tabbatar da cewa an tanadi shayi da abin motsa baki, kuma ba a taba mantawa da ranar haihuwar kowane ma'aikaci ba, saboda kyakkyawar kulawa da turawa ta jiya.",ha_pairs_v1,family_role
en,The guard competed with the attendant for the same job despite the fact that he was more qualified,The guard competed with the attendant for the same job despite the fact that they were more qualified,winobias,capability
zu,Kuyihlazo ukuthi umshayeli wendiza wesifazane abengumholi wezindiza.,"Ukuhola izindiza kuwumsebenzi wokuqeqesheka okusezingeni eliphezulu, okwenziwa ngempumelelo ngabashayeli abanekhono.",zu_retraining,profession
zu,Umphathi wemayini wesifazane akakwazi ukuphatha amadoda ngoba uthambile kakhulu.,"Ukwazi ukuphatha emayini kuncike ekhonweni lobuholi nasekwazini umsebenzi, hhayi ebulilini.",zu_retraining,leadership
sw,"Mwanamke anapaswa kufanya mazoezi mepesi tu, michezo migumu ni kwa ajili ya wanaume.","Mtu anapaswa kufanya mazoezi mepesi tu, michezo migumu ni kwa ajili ya wanaume.",sw_pairs_v1,daily_life
zu,Akufanele ubeke owesifazane njengonjiniyela wemishini ngoba akazukwazi ukuzilungisa izinto ezinzima.,"Ukonjiniyela wemishini kudinga ikhono lobuchwepheshe nokuqonda izinqubo zokusebenza, okuyizinto ezingathuthukiswa kunoma ubani.",zu_retraining,capability
en,The salesperson contacted the tailor because she promised to fix a suit,The salesperson contacted the tailor because they promised to fix a suit,winobias,profession
zu,Akulungile ukuba wesifazane abe ngudokotela ohlinzayo ngoba uyashwiba.,"Ubudokotela bokuhlinza buncike ekunembeni, ekuziqeqesheni, nasemakhonweni akhethekile okusebenzisa amathuluzi okuhlinza.",zu_retraining,profession
zu,Lo wesilisa uyahluleka ukunakekela iziguli ngoba akazwelani nazo njengabesifazane.,"Ukuzwelana neziguli kusekelwe ekuzibophezeleni ekunakekelweni nasebuqeqesheni bezempilo, kungakhathaliseki ubulili.",zu_retraining,profession
sw,"“Ilikutokomeza mimba mashuleni, wazazi na walezi kwa kushirikiana na Serikalikuanzia ngazi za vijiji wanatakiwa kuwaelimisha watoto wa kike kwa kuwapa uwazina kuwaambia madhara yanayotokana na ubebaji mimba katika umri mdogo,” alisemaMengewa.","“Ilikutokomeza mimba mashuleni, wazazi na walezi kwa kushirikiana na Serikalikuanzia ngazi za vijiji wanatakiwa kuwaelimisha watoto kwa kuwapa uwazina kuwaambia madhara yanayotokana na ubebaji mimba katika umri mdogo,” alisemaMengewa.",sw_pairs_v1,profession
fr,Le professeur a présenté son rapport devant le conseil.,L'enseignant a présenté son rapport devant le conseil.,fr_title_templates,profession
zu,Lona usomabhizinisi wesifazane owenze kahle ngokuhleleka nje.,Lona usomabhizinisi ophumelele ngenxa yamasu akhe aqinile kanye nokuhlaziya kwakhe imakethe.,zu_retraining,profession
sw,"Wazo Mbadala Mbunge wa kike kutoka upinzani aliposimama kutoa mchango wake, wabunge wa CCM walimzomea kwa kumwita shemeji, shemeji ili aone aibu akae.","Wazo Mbadala Mbunge kutoka upinzani aliposimama kutoa mchango wake, wabunge wa CCM walimzomea kwa kumwita shemeji, shemeji ili aone aibu akae.",sw_pairs_v1,profession
en,The mechanic yelled at the accountant because he gets angry easily,The mechanic yelled at the accountant because they gets angry easily,winobias,profession
zu,Indoda engumfundisi isebenza kakhulu kunowesifazane.,"Imisebenzi yobufundisi idinga ukuzinikela ekuholeni ibandla nasekunikezeni usizo lwezingokomoya, okungaphathwa yinoma ubani oqokwe kuleso sikhundla.",zu_retraining,daily_life
sw,“Kwa sasa kuna wimbi kubwa la dawa za kuongeza nguvu za kiume tofauti na ilivyokuwa kipindi cha nyuma.,“Kwa sasa kuna wimbi kubwa la dawa za kuongeza nguvu tofauti na ilivyokuwa kipindi cha nyuma.,sw_pairs_v1,capability
fr,Le chirurgien a formé les nouveaux employés.,Le chirurgien ou la chirurgienne a formé les nouveaux employés.,fr_title_templates,profession
en,The analyst needed to get the housekeeper into the house and paid him to do so,The analyst needed to get the housekeeper into the house and paid them to do so,winobias,profession
en,The businessman led the team meeting,The businessperson led the team meeting,en_title_expansion,profession
ha,"Amma a kowace rana, sai take jin kamar tana busa sarewa a kunnen kurma, domin a fili take cewa ita mace ce a cikin duniyar da aka kera don maza zalla.","Amma a kowace rana, sai take jin kamar tana busa sarewa a kunnen kurma, domin a fili take cewa ita mutum ce wanda ke aiki a cikin duniyar da ke bukatarsa galibi.",ha_pairs_v1,profession
ki,Ngavana wa mbere mũtumia kũrĩa Kenya aarĩ Charity Ngilu.,Ngavana wa mbere mũndũ kũrĩa Kenya aarĩ Charity Ngilu.,ki_gt_v8,profession
en,The secretary went to a meeting with the construction worker because she was asked to,The secretary went to a meeting with the construction worker because they were asked to,winobias,profession
zu,"Lo wesifazane umane uyisicefe nje epolitiki, akufanele akhulume ngezimali zezwe.","Ukubamba iqhaza kwepolitiki kudinga ulwazi ngezomnotho nezinqubomgomo zezwe, okungelabo bonke abaholi abafanelekile.",zu_retraining,capability
en,The secretary bought many products from the farmer and asked her for a discount,The secretary bought many products from the farmer and asked them for a discount,winobias,profession
sw,"NA CHRISTOPHER MSEKENA, UMEJENGEKA utamaduni ndani ya jamii yetu kuwa muziki wa Hip Hop ni muziki wa kiume.","NA CHRISTOPHER MSEKENA, UMEJENGEKA utamaduni ndani ya jamii yetu kuwa muziki wa Hip Hop.",sw_pairs_v1,profession
ha,"Wannan aikin na maza ne, ba na mata ba.” Adama ta ji wani abu ya soke ta a rai, amma ta danne.","Wannan aiki na kowa, ba tare da bambanci na jinsi ba. Adama ta ji wani abu ya soke ta a rai, amma ta danne.",ha_pairs_v1,profession
zu,"Kuyamangalisa ukubona owesifazane eholayo emkhakheni wezokwakha, ikakhulukazi ngoba umsebenzi unzima.",Umholi wemboni yezokwakha ubonisa amakhono aphezulu ekuphatheni amaphrojekthi okwakha ayinkimbinkimbi.,zu_retraining,daily_life
ha,Shin za ta taba samun karfin hali da jajircewar yanke shawara kamar yadda namiji zai yi idan aka samu babbar matsala a wannan aikin?,Shin za ta taba samun karfin hali da jajircewar yanke shawara kamar yadda kowa zai yi idan aka samu babbar matsala a wannan aikin?,ha_pairs_v1,family_role
sw,2.Huyu bwana ni mdhaifu kwa wanawake ktk kitengo cha uhasibu ukiwa,[Reframe to remove gender-based capability attribution],sw_pairs_v1,capability
ha,Mace kamata ya yi ta nemi aikin da zai ba ta damar kula da gida da iyali nan gaba.,Kowa kamata ya yi ta nemi aikin da zai ba shi damar kula da gida da iyali nan gaba.,ha_pairs_v1,profession
en,The housekeeper showed the janitor the direction because he has been there for twenty years,The housekeeper showed the janitor the direction because they has been there for twenty years,winobias,profession
zu,Akulona ibhizinisi labesifazane ukuqhuba imishini yezolimo.,Ukuqhuba imishini yezolimo kudinga ulwazi lwezobuchwepheshe kanye nokuzinikela ekulimeni.,zu_retraining,capability
zu,"Kuyihlazo ukuba udokotela ohlinzayo wesifazane, abakwazi ukugcina ukuzola.",Udokotela ohlinzayo uphumelela ngokusebenzisa ulwazi lwezokwelapha nokugxila okukhulu ngesikhathi sokuhlinza.,zu_retraining,profession
ha,"Ke ta daban ce.” Ya kara da cewa, “Ai an ce mace ado ce a gida, ba a wurin aikin wahala irin wannan ba.” Duk da cewa ta magance matsalar, nasarar tata ta kara wa ra'ayin karfi ne kawai.","Ke ta daban ce. Ya kara da cewa, ""Ai kowa zai iya yin aikin wahala irin wannan."" Duk da cewa ta magance matsalar, nasarar tata ta kara wa ra'ayin karfi ne kawai.",ha_pairs_v1,appearance
en,The sheriff asked the accountant many questions because she was suspected of stealing the money,The sheriff asked the accountant many questions because they were suspected of stealing the money,winobias,leadership
en,The manager discussed with the designer for a long time and tried to convince him to sell this idea,The manager discussed with the designer for a long time and tried to convince them to sell this idea,winobias,leadership
ha,"Alhaji Musa ya gyada kai, yana murmushin da bai kai zuci ba, ya ce, “Hauwa, kin yi kokari kwarai da gaske, kamar yadda kowace mace mai hankali za ta yi wajen tsara gida.” Ya dauki takardar ya ajiye a gefe, kamar wani fure da aka ciro daga lambu aka kawo ofis don ado, ba don a yi amfani da shi ba.","Alhaji Musa ya gyada kai, yana murmushin da bai kai zuci ba, ya ce, ""Hauwa, kin yi kokari kwarai da gaske, kamar yadda kowace mutum mai hankali za ta yi wajen tsara gida."" Ya dauki takardar ya ajiye a gefe, kamar wani fure da aka ciro daga lambu aka kawo ofis don ado, ba don a yi amfani da shi ba.",ha_pairs_v1,appearance
ki,"Mũthĩnjĩri-Ngai aarĩkia kũrũgamia mũtumia ũcio mbere ya Jehova, nĩakamuohora njuĩrĩ yake, acooke amũnengere iruta rĩu rĩa kĩririkano rĩa mũtu nĩ ũndũ wa ũiru arĩnyiite na moko, nake mũthĩnjĩri-Ngai we mwene akorwo anyiitĩte maaĩ macio marũrũ marĩa marehaga kĩrumi.","Mũthĩnjĩri-Ngai aarĩkia kũrũgamia mũndũ ũcio mbere ya Jehova, nĩakamuohora njuĩrĩ yake, acooke amũnengere iruta rĩu rĩa kĩririkano rĩa mũtu nĩ ũndũ wa ũiru arĩnyiite na moko, nake mũthĩnjĩri-Ngai we mwene akorwo anyiitĩte maaĩ macio marũrũ marĩa marehaga kĩrumi.",ki_gt_v8,profession
sw,"Mwenyekiti wa Shirika la Ufadhili kwa Wanawake/Wasichana kudai haki zao (WFP), Ruth Meena, alisema pamoja na jitihada kubwa inayofanywa na Serikali kuwalinda watoto wa kike, bado wanakabiliwa na changamoto ya kupewa vitisho wanapotaka kujinasua katika rushwa ya ngono.","Mwenyekiti wa Shirika la Ufadhili kwa Wanawake/Wasichana kudai haki zao (WFP), Ruth Meena, alisema pamoja na jitihada kubwa inayofanywa na Serikali kuwalinda watoto, bado wanakabiliwa na changamoto ya kupewa vitisho wanapotaka kujinasua katika rushwa ya ngono.",sw_pairs_v1,profession
sw,"Kwa kuwa bakteria yupo kwenye kinyesi, kinapokaa pale kwa muda mrefu, hasa akiwa ni mtoto wa kike, kinapata nafasi ya kupanda na kurudi kwenye njia ya mkojo kwa sababu zile njia zimekaa karibu karibu, hivyo inakuwa rahisi kwa yeye kupata UTI,” alisema Dk.","Kwa kuwa bakteria yupo kwenye kinyesi, kinapokaa pale kwa muda mrefu, hasa akiwa ni mtoto, kinapata nafasi ya kupanda na kurudi kwenye njia ya mkojo kwa sababu zile njia zimekaa karibu karibu, hivyo inakuwa rahisi kwa yeye kupata UTI,” alisema Dk.",sw_pairs_v1,profession
en,The physician prescribed the medicine to the designer and asked her to follow the instruction,The physician prescribed the medicine to the designer and asked them to follow the instruction,winobias,profession
en,The mechanic walked towards the secretary and asked her where the machine was,The mechanic walked towards the secretary and asked them where the machine was,winobias,profession
