ngram,count,example
mũkawa ũcio,9,Andũa Rwanda maingĩrire mũkawa ũcio wa ituramĩro ndũrĩ haraihu na ũbarũthi ũcio.
harĩ arũme,9,"O na kũrĩ ũguo, kaingĩ maũndũ macio matikoragwo maritũ na nĩ macenjagia gũkĩra marĩa monagwo harĩ arũme."
arũme acio,9,Komanda wa borithi gĩcigo kĩnini  ya Suba Antony Njeru oigire atĩ arũme acio atatũ nĩ maanyitĩtwo nĩ borithi nĩguomathuthurie ũhoro ũcio.
mũkawa ũrĩa,9,Ũria mũkawa ũrĩa ũrĩ hakuhĩ na gĩcigo-inĩ gĩakwa
mwanake ũyũ,9,Nĩ hinya kũmwĩhoka mwanake ũyũ.
e mũtumia,9,ũthuthuria bũrũri-inĩ ũcio gũtionanirie atĩ maũndũ megiĩ mũndũ gũkorwo e-mũthuri kama e-mũtumia nĩ gwa bata harĩ moimĩrĩra ma mathomo.
mũthuri akĩmwĩra,9,Mũthuri akĩmwĩra tondũ ndana rĩkia wĩra wake.
mũndũrũme kana,8,"Maũhoro ma IAAF nĩ mauga mawatho mau,matire na ũthigati wa gũcirĩra kana kũhũnga mahũrĩ mũhĩrĩga wa mũndũrũme kana mũtumia wa mũtengeri ũcio."
kĩa atumia arĩa marĩ,8,Gĩcunjĩ kĩa mĩrongo ĩtandatũ na ithatũ harĩ igana kĩa atumia arĩa marĩ kĩhiko inĩ nĩmatũmagĩra njĩra cia kũgiria kuoha nda gĩcunjĩ kĩa mĩrongo ĩtano  na mũgwanja gĩgĩtũmĩra njĩra cia kĩĩrĩu
wa atumia na,8,Ta mũndũrũme nĩngũranĩte mweke wa atumia na njĩra nene mũno
atumia aingĩ arĩa,8,Atumia aingĩ arĩa marĩ makoro na ũritũ wa nja ya nda nĩ mathiaga na mbere kũgĩa nda ĩna ũgima mwega.
kũrĩ mũthuri,8,Ta rora gathandũkũ gakwa ka marũa kuuma kũrĩ mũthuri wakwa.
atumia aingĩ nĩ,8,"O na gũtuĩka atumia aingĩ nĩ metigĩrĩte kanca, mathĩĩna maingĩ ma nyondo matikoragũo kanca. "
mũtumia wa mũtongoria,8,Ũũ nĩ ũira waku atĩ mũtumia wa mũtongoria nĩ we akoretwo agĩtongoria maũndũ ma kauntĩ.
atumia angĩ,8,Atumia angĩ nĩ mangabana a matũũra
na mwarĩ wa nyina,8,mwanake ũmwe wa mĩaka ikũmi na inya nĩ gũteretha  na kũnyita aarĩ a nyina erĩ hanwe na endwa acio erĩ na mwarĩ wa nyina na mũhikania
mũthuri kana mũtumia,8,"Oũrĩa mahinda mathiaga , ũtũmĩri wa macini nĩũtiganĩte na maũndũ ma mũthuri kana mũtumia na kũonekanĩte atĩ macini mũndũ wothe nĩaramĩhuthĩra"
na atumia no,8,Athuri na atumia no meke mĩtugo ĩno.
mũndũrũme ũcio,8,Mũndũrũme ũcio wa mĩaka mĩrongo ĩna na ũmwe anyitĩtũo nĩũndũ wa gũcogera mũingĩ
mũthuri ũcio nĩ,8,"""Ũndũ ũcio nĩ wa magegania tondũ mũthuri ũcio nĩ akoretwo akĩthahia airĩtu arĩa marĩ gwake mũciĩ."
mũkaana wĩgiĩ,8,Athuri a itũũra rĩu nĩ maamũheire mũkaana wĩgiĩ kĩrĩma kĩu.
mwanake nĩ,8,mwanake nĩ arakaria nyina
ya mũthuri,8,Nĩkũrĩ na ngũrani ya mũthuri na mũtumia harĩ gũcoka thukuru kũrũmĩrĩra mũrimũ wa Ebola ?
thutha wa mũtumia,8,Ciana cionekaga tu thutha wa mũtumia kũgĩa nda.
mũthuri ti kamau,8,Mũthuri ti Kamau nĩ ahanda mbembe mũthemba wa Pioneer. 
andũ mũkaana,8,"Kaingĩ Instagram nĩ ĩheanaga ũteithio na ũhoro wa gũteithia andũ kũhũrana  na andũ arĩa mathumbũraga na ningĩ nĩ ĩheaga andũ mũkaana mbere ya kwĩrorera ndũmĩrĩri, mbica, kana findio njũru."
atĩ mũtumia ũcio,8,Maina eerire BBC atĩ mũtumia ũcio nĩ ĩkĩrĩte muoyo wake ũgwati-inĩ  kũhonokia andũ arĩa angĩ.
arũme kana,7,Kamĩtĩ ya acoki a arũme kana atumia a arũme kana arũme a arũme kana airĩtu a arũme kana airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu.
mũndũrũme kana mũtumia,7,"Maũhoro ma IAAF nĩ mauga mawatho mau,matire na ũthigati wa gũcirĩra kana kũhũnga mahũrĩ mũhĩrĩga wa mũndũrũme kana mũtumia wa mũtengeri ũcio."
wa atumia arĩa,7,Athomi a sayansi kuuma Bũrũri wa Austria moigaga atĩ mũigana wa atumia arĩa makuaga hĩndĩ ya gũciara nĩ ũnyihĩte nĩ ũndũ wa gũciara na njĩra ya gũthĩnjwo
atumia ya,7,Timũ ya atumia ya Manchester City
ya atumia ya,7,Timũ ya atumia ya Manchester City
arũme nĩo,7,Arũme nĩo mahũraga mĩmera ndawa
kĩa atumia arĩa matarĩ,7,Gĩcunjĩ kĩa atumia arĩa matarĩ na nda na matiĩthecete na marĩ na uhoti wa kuoha nda
atumia na arũme,7,Gĩcunjĩ kĩa atumia na arũme a mĩaka ikũmi na ĩtano nginya mĩrongo ĩna na kenda kĩa arĩa manaigua ũhoro wa mũrimũ wa mahũri
gĩa atumia,7,"Mĩaka ĩigana ona mĩthiru, mũĩkĩrani muoyo wa Amerika  Beth Kamau nĩagegetie andũ nĩ kũria kĩhoto gĩa atumia  kĩoneke, nĩendekithĩtie atumia maikĩrio kura"
kũma mũkawa,7,olly njitiria kahũa kamwe kũma mũkawa wa Starbucks
mũkawaĩni wa,7,ĩtĩa kahũa kamwe mũkawaĩni wa starbucks 
kwĩ mũthuri,7,Baba wao amũgiririe gũka mũciĩ na mwana no amũcokirie kwĩ mũthuri wake.
atumia kwaga,7,ũũ ũrehaga ũritũ wa atumia kwaga kũnyitanĩra harĩ ũrĩmi.
na arũme arĩa angĩ,7,Bũrũri wa Indonesia nĩ ũkoretwo na ũhinyanĩrĩria mũingĩ kwerekera arũme arĩa makomaga na arũme arĩa angĩ na arũme arĩa makomaga na arũme arĩa angĩ.
mũtumia nĩ,7,"O na kũrĩ ũguo, maũndũ ta macio matingĩkwo thĩinĩ wa ihiko iria cionanagia atĩ mũthuri na mũtumia nĩ a kwendana."
mũtumia harĩ,7,Tanzania: Thũ ya mũtumia harĩ ũtonga nĩ mũthuri?
atĩ nyina,7,Nekesa oigaga atĩ mũgũnda ũcio nĩ wake na atĩ nyina na ariũ a nyina erĩ nĩ maathikirũo ho.
atumia marĩ na ihu,7,Ũtumĩri wa njĩra cia kũĩgirĩrĩria harĩ atumia marĩ na ihu
kũrĩ mũtumia,7,Ũtukũ wa mbere wamũrĩtwo ũrĩ wamwanya kũrĩ mũtumia wa mũthamaki
atumia ethĩ,7,Tech Dada nĩ mũbango wa Thukuru wa Tunapanda ũrĩa ũkoragwo na muoroto wa gũtwarithia na mbere ũhũthĩri wa tekinoronjĩ cia mohoro harĩ atumia ethĩ Kenya.
gũteithia atumia,7,No ingĩhota gũteithia atumia no ũkorũo ũrĩ ũndũ mwega.
mwĩrĩ wa nyina,7,Nĩ twaheirũo marũa tũhũre saĩni kĩa hinya. Mũrũ wa Fathima ũrĩa mũkũrũ nĩ aagĩrĩirũo gũthiĩ thibitarĩ kũmenyithania mwĩrĩ wa nyina.
kwa mũtumia,7,kwĩruta gwa kũrũgama kwa ihinda rĩraihu ti kwega kwa mũtumia mũritũ
atĩ arũme,7,Musa Warũingĩ. ũrĩa gũkoragwo nĩ atĩ arũme matirĩ nyondo no niĩ ndĩnayo.
harĩ atumia arĩa marĩ,7,Kaingĩ yonekaga harĩ atumia arĩa marĩ na mĩaka  mĩaka mĩrongo ĩtatũ na ĩna 
harĩ atumia arĩa marĩ na,7,Kaingĩ yonekaga harĩ atumia arĩa marĩ na mĩaka  mĩaka mĩrongo ĩtatũ na ĩna 
e mũthuri,7,ũthuthuria bũrũri-inĩ ũcio gũtionanirie atĩ maũndũ megiĩ mũndũ gũkorwo e-mũthuri kama e-mũtumia nĩ gwa bata harĩ moimĩrĩra ma mathomo.
na mũtumia ũcio,7,"Kũringana na Onyango, Ong’ong’a na mũtumia ũcio wa ndigwa makoretwo makĩonana hakuhĩ mĩaka ĩrĩ."
kũrĩ arũme,7,AS kaingĩ yonekaga mũno kũrĩ arũme. 
mũtumia ti,7,"Mũtumia ti Wambui nĩaraũgire kũria mbica ciaũmire, arĩa maheyanaga ũteithio mena ndeto makĩria"
kũhikia mũtumia,7,Mũndũrũme ũmwe gũikio njera mĩeri itandatũ nĩ ũndũ wa kũhikia mũtumia wa kerĩ bũrũri-inĩ wa Pakistan
thĩmũ mũkawaĩni,7,hĩhĩ no uhote gũĩtĩa ĩrĩo na kuhura thĩmũ mũkawaĩni uria
mũkawa mwega,7,ĩtĩa ĩrĩo kũma mũkawa mwega
mũtumia wake wa mbere,7,"Mũtumia wake wa mbere, Sami, aarĩ wa bũrũri wa Ghana."
ĩheete andũ mũkaana,7,"O na kũrĩ ũguo, thirikari nĩ ĩheete andũ mũkaana atĩ nĩ mekũbatara kwĩharĩria nĩ ũndũ wa mathĩna ma kĩĩmbeca ma mwaka ũyũ."
andũ mũkaana atĩ,7,"O na kũrĩ ũguo, thirikari nĩ ĩheete andũ mũkaana atĩ nĩ mekũbatara kwĩharĩria nĩ ũndũ wa mathĩna ma kĩĩmbeca ma mwaka ũyũ."
mũkaana atĩ nĩ,7,"O na kũrĩ ũguo, thirikari nĩ ĩheete andũ mũkaana atĩ nĩ mekũbatara kwĩharĩria nĩ ũndũ wa mathĩna ma kĩĩmbeca ma mwaka ũyũ."
nĩ ĩheete andũ mũkaana,7,"O na kũrĩ ũguo, thirikari nĩ ĩheete andũ mũkaana atĩ nĩ mekũbatara kwĩharĩria nĩ ũndũ wa mathĩna ma kĩĩmbeca ma mwaka ũyũ."
ĩheete andũ mũkaana atĩ,7,"O na kũrĩ ũguo, thirikari nĩ ĩheete andũ mũkaana atĩ nĩ mekũbatara kwĩharĩria nĩ ũndũ wa mathĩna ma kĩĩmbeca ma mwaka ũyũ."
andũ mũkaana atĩ nĩ,7,"O na kũrĩ ũguo, thirikari nĩ ĩheete andũ mũkaana atĩ nĩ mekũbatara kwĩharĩria nĩ ũndũ wa mathĩna ma kĩĩmbeca ma mwaka ũyũ."
mũkaana atĩ nĩ mekũbatara,7,"O na kũrĩ ũguo, thirikari nĩ ĩheete andũ mũkaana atĩ nĩ mekũbatara kwĩharĩria nĩ ũndũ wa mathĩna ma kĩĩmbeca ma mwaka ũyũ."
thirikari nĩ ĩheete andũ mũkaana,7,"O na kũrĩ ũguo, thirikari nĩ ĩheete andũ mũkaana atĩ nĩ mekũbatara kwĩharĩria nĩ ũndũ wa mathĩna ma kĩĩmbeca ma mwaka ũyũ."
nĩ ĩheete andũ mũkaana atĩ,7,"O na kũrĩ ũguo, thirikari nĩ ĩheete andũ mũkaana atĩ nĩ mekũbatara kwĩharĩria nĩ ũndũ wa mathĩna ma kĩĩmbeca ma mwaka ũyũ."
ĩheete andũ mũkaana atĩ nĩ,7,"O na kũrĩ ũguo, thirikari nĩ ĩheete andũ mũkaana atĩ nĩ mekũbatara kwĩharĩria nĩ ũndũ wa mathĩna ma kĩĩmbeca ma mwaka ũyũ."
andũ mũkaana atĩ nĩ mekũbatara,7,"O na kũrĩ ũguo, thirikari nĩ ĩheete andũ mũkaana atĩ nĩ mekũbatara kwĩharĩria nĩ ũndũ wa mathĩna ma kĩĩmbeca ma mwaka ũyũ."
mũkaana atĩ nĩ mekũbatara kwĩharĩria,7,"O na kũrĩ ũguo, thirikari nĩ ĩheete andũ mũkaana atĩ nĩ mekũbatara kwĩharĩria nĩ ũndũ wa mathĩna ma kĩĩmbeca ma mwaka ũyũ."
a arũme,6,Kamĩtĩ ya acoki a arũme kana atumia a arũme kana arũme a arũme kana airĩtu a arũme kana airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu.
gwa atumia,6,Bũrũri wa Isiraeli nĩ ũheanĩte watho mũritũ mũno wĩgiĩ kũruithio gwa atumia
wa mũndũrũme,6,"Maũhoro ma IAAF nĩ mauga mawatho mau,matire na ũthigati wa gũcirĩra kana kũhũnga mahũrĩ mũhĩrĩga wa mũndũrũme kana mũtumia wa mũtengeri ũcio."
wa mũtumia ũmwe,6,Ruthu Wacuka: ũrĩa kĩheo gĩa gũtuma giacenjirie mũtũrĩre wa mũtumia ũmwe bũrũri-nĩ wa Kenya.
atumia aya,6,Atumia aya a amerika makuona atĩa ũtonga ũyũ?
ĩteithagia atumia,6,Linda mama ĩteithagia atumia aritũ.
mũtumia waku,6,mũtumia waku nĩoĩ kũruga cabaci?
atumia na ciana,6,Ndini nĩ ĩteithagia gũkũria kĩhooto kĩa atumia na ciana.
na atumia a,6,Macũngĩrĩrio ma mbara cia kĩũteti nĩ gũkorwo na atumia a ndigwa
atumia arĩa mohete,6,Mũrimũ wa marĩria nĩ ũragaga andũ na ũgathĩnia atumia arĩa mohete nda.
atumia arĩa mohete nda,6,Mũrimũ wa marĩria nĩ ũragaga andũ na ũgathĩnia atumia arĩa mohete nda.
nĩ nyina,6,Madonsela nĩ nyina wa ciana igĩrĩ.
cia arũme kwa,6,Andũ arĩa mareganaga na watho wa gwĩtĩkĩria ngomanio cia arũme kwa arũme na andũ a ndũrĩrĩ ingĩ thĩinĩ wa Taiwan
cia arũme kwa arũme,6,Andũ arĩa mareganaga na watho wa gwĩtĩkĩria ngomanio cia arũme kwa arũme na andũ a ndũrĩrĩ ingĩ thĩinĩ wa Taiwan
arũme arĩa mahikanĩtie,6,Thirikari ya Amerika nĩ ĩhũthĩrĩte njĩra njũru mũno gũteithia arũme arĩa mahikanĩtie na arũme arĩa angĩ
ariũ a nyina,6,Nekesa oigaga atĩ mũgũnda ũcio nĩ wake na atĩ nyina na ariũ a nyina erĩ nĩ maathikirũo ho.
mũkaana kũrĩ,6,Kimani kũheana mũkaana kũrĩ Iran atĩ 'ndĩkagerie Amerika'
mũtumia wake na,6,No Al-Qweda nĩmaũgĩte atĩ mũtumia wake na ciana nĩmoragirwo onao onagũtuĩka matiamenyekire kĩmbirarũ
atumia cirebundithia,6,Ikundi cia atumia cirebundithia wĩgiĩ ihooto ciao.
cia atumia cirebundithia,6,Ikundi cia atumia cirebundithia wĩgiĩ ihooto ciao.
ikundi cia atumia cirebundithia,6,Ikundi cia atumia cirebundithia wĩgiĩ ihooto ciao.
mũtumia kana,6,Mũrigiti nĩ mũtumia kana mũndũrũme
wa mũtumia ũcio,6,Andũ a mũciĩ wa mũtumia ũcio moigaga atĩ ndarĩ oimire mũciĩ kwa ihinda rĩa mĩaka 25.
na mũthuriwe,6,"Mũtumia ũmwe na mũthuriwe nĩ maathire kiromita ngiri inyanya nĩguo 'marũithie' mũthoniwe wao, ũguo nĩguo thigari cia Florida ciugĩte."
mũtumia ũcio wa,6,Mũtumia ũcio wa Carter nĩ aaheirũo wĩyathi wa gwĩthuurĩra.
mwarĩ wa nyina nĩ,6,"Ithe na mwarĩ wa nyina nĩ maraugire matigĩkua ngoro,mena mwĩhoko nĩ egũcoka"
atumia mena,6,Rwanda nĩ yũkĩte na njĩra cia kwĩruta cia atumia mena nda
mũtumia ũngĩ,6,Mũtumia ũngĩ wendagia indo kũng'ũng'ũrĩka na kuga ena mĩaka ikũmi na ĩtano thĩiniĩ wa wĩra ũcio.
mwanake wakwa,6,Ndaikarire ngĩcaragia mwanake wakwa mweri mũgima no ndiamuonire.
gũkĩra arũme,6,"Kaingĩ arũme arĩa makoragwo na mũrimũ wa 48,XXYY makoragwo marĩ arũgamu gũkĩra arũme a riika rĩao."
mũndũ mũrũme,6,Kaingĩ mũndũ mũrũme ahota kwaga kuona wega arĩ na mĩaka mĩrongo ĩtano kana mĩrongo ĩtandatũ.
atumia cirateithia,6,Ikundi cia atumia cirateithia ciana.
cia atumia cirateithia,6,Ikundi cia atumia cirateithia ciana.
ikundi cia atumia cirateithia,6,Ikundi cia atumia cirateithia ciana.
na atumia harĩ,6,"ĩhinda-inĩ o rĩu, riboti ĩyo nĩ yonanirie ngũrani ya arũme na atumia harĩ gĩthomo kĩa naihenya, kũrĩa airĩtu aingĩ makoragwo na mathĩna ma gĩthomo kĩa naihenya, kuuma harĩ kũgĩa na indo cia gĩthomo nginya harĩ kũhĩngĩcwo kwa arĩa mareruta."
mũtumia wa mũrũ,6,"Oigire atĩ mwaka ũmwe mĩhĩtũku nĩrĩo Nekesa, mũtumia wa mũrũ wa nyina, hamwe na mũthuriwe mookire na makiuga atĩ mũgũnda ũcio nĩ wao."
mũtumia wa mũrũ wa,6,"Oigire atĩ mwaka ũmwe mĩhĩtũku nĩrĩo Nekesa, mũtumia wa mũrũ wa nyina, hamwe na mũthuriwe mookire na makiuga atĩ mũgũnda ũcio nĩ wao."
nĩ mũthuri wake,6,"Atongoria a borithi marĩ gũkũ kũhingia watho wa kũingata mũtumia wa ndigwa kuuma mũgũnda-inĩ ũrĩa oigaga atĩ wagũrirũo nĩ mũthuri wake, Fedelis Wabwire, itũũra-inĩ rĩa Oruba Keyo, kaunti-inĩ ya Migori, mĩaka mĩrongo  ĩrĩ na ĩtano mĩhĩtũku."
cia atumia na,6,"Timũ cia kenya iria cihotete kũingĩra mathako maya nĩ timũ ya  rugby ya bũrũri cia atumia na arũme - shujaa na lioness , timũ ya bũrũri ya atumia ya mũthalo wa.....-malkia- , atengeri, ....na timũ cia kũratha."
mwanake na,6,Matingĩetĩkĩrire atĩ mwanake na mũirĩtu no makorũo na ũrata ta ũcio.
nyina wa mwana,6,Mũigana wa maita ma gũthecwo njanjo ĩno ya mwana maringanaga na njanjo iria nyina wa mwana athecetwo
mũtumia na ciana,6,Atigire mũtumia na ciana inya iria ciathiaga cukuru cia mũthingi na cia sekondarĩ.
na mũthuri ũcio,6,"Ũmwe arĩ na mĩaka ikũmi na inyanya na ikũmi na kenda,  hamwe na mũthuri na mũtumia, mwarĩ wa nyina na mũthuri ũcio."
atumia marabatara,6,Maũndũ ma ihooto cia atumia marabatara ũritũ.
mũtumia clinton,6,Mũhunjia TB Joshua arathĩte atĩ mũtumia Clinton nĩ egũtoria gĩthurano-inĩ kĩa ũtongoria wa bũrũri wa Amerika
arathĩte atĩ mũtumia,6,Mũhunjia TB Joshua arathĩte atĩ mũtumia Clinton nĩ egũtoria gĩthurano-inĩ kĩa ũtongoria wa bũrũri wa Amerika
atĩ mũtumia clinton,6,Mũhunjia TB Joshua arathĩte atĩ mũtumia Clinton nĩ egũtoria gĩthurano-inĩ kĩa ũtongoria wa bũrũri wa Amerika
mũtumia clinton nĩ,6,Mũhunjia TB Joshua arathĩte atĩ mũtumia Clinton nĩ egũtoria gĩthurano-inĩ kĩa ũtongoria wa bũrũri wa Amerika
joshua arathĩte atĩ mũtumia,6,Mũhunjia TB Joshua arathĩte atĩ mũtumia Clinton nĩ egũtoria gĩthurano-inĩ kĩa ũtongoria wa bũrũri wa Amerika
arathĩte atĩ mũtumia clinton,6,Mũhunjia TB Joshua arathĩte atĩ mũtumia Clinton nĩ egũtoria gĩthurano-inĩ kĩa ũtongoria wa bũrũri wa Amerika
atĩ mũtumia clinton nĩ,6,Mũhunjia TB Joshua arathĩte atĩ mũtumia Clinton nĩ egũtoria gĩthurano-inĩ kĩa ũtongoria wa bũrũri wa Amerika
mũtumia clinton nĩ egũtoria,6,Mũhunjia TB Joshua arathĩte atĩ mũtumia Clinton nĩ egũtoria gĩthurano-inĩ kĩa ũtongoria wa bũrũri wa Amerika
tb joshua arathĩte atĩ mũtumia,6,Mũhunjia TB Joshua arathĩte atĩ mũtumia Clinton nĩ egũtoria gĩthurano-inĩ kĩa ũtongoria wa bũrũri wa Amerika
joshua arathĩte atĩ mũtumia clinton,6,Mũhunjia TB Joshua arathĩte atĩ mũtumia Clinton nĩ egũtoria gĩthurano-inĩ kĩa ũtongoria wa bũrũri wa Amerika
arathĩte atĩ mũtumia clinton nĩ,6,Mũhunjia TB Joshua arathĩte atĩ mũtumia Clinton nĩ egũtoria gĩthurano-inĩ kĩa ũtongoria wa bũrũri wa Amerika
atĩ mũtumia clinton nĩ egũtoria,6,Mũhunjia TB Joshua arathĩte atĩ mũtumia Clinton nĩ egũtoria gĩthurano-inĩ kĩa ũtongoria wa bũrũri wa Amerika
mũtumia clinton nĩ egũtoria gĩthurano,6,Mũhunjia TB Joshua arathĩte atĩ mũtumia Clinton nĩ egũtoria gĩthurano-inĩ kĩa ũtongoria wa bũrũri wa Amerika
atumia cii,6,"O na kũrĩ ũguo, atongori angĩ nĩ moigire atĩ nĩ megũthiĩ na mbere kũrũmĩrĩra watho wa kũgiria andũ kũhumba nguo cia gũthambĩra cia atumia ciĩtagwo burkini. "
gũthambĩra cia atumia,6,"O na kũrĩ ũguo, atongori angĩ nĩ moigire atĩ nĩ megũthiĩ na mbere kũrũmĩrĩra watho wa kũgiria andũ kũhumba nguo cia gũthambĩra cia atumia ciĩtagwo burkini. "
cia atumia cii,6,"O na kũrĩ ũguo, atongori angĩ nĩ moigire atĩ nĩ megũthiĩ na mbere kũrũmĩrĩra watho wa kũgiria andũ kũhumba nguo cia gũthambĩra cia atumia ciĩtagwo burkini. "
atumia cii tagwo,6,"O na kũrĩ ũguo, atongori angĩ nĩ moigire atĩ nĩ megũthiĩ na mbere kũrũmĩrĩra watho wa kũgiria andũ kũhumba nguo cia gũthambĩra cia atumia ciĩtagwo burkini. "
cia gũthambĩra cia atumia,6,"O na kũrĩ ũguo, atongori angĩ nĩ moigire atĩ nĩ megũthiĩ na mbere kũrũmĩrĩra watho wa kũgiria andũ kũhumba nguo cia gũthambĩra cia atumia ciĩtagwo burkini. "
gũthambĩra cia atumia cii,6,"O na kũrĩ ũguo, atongori angĩ nĩ moigire atĩ nĩ megũthiĩ na mbere kũrũmĩrĩra watho wa kũgiria andũ kũhumba nguo cia gũthambĩra cia atumia ciĩtagwo burkini. "
cia atumia cii tagwo,6,"O na kũrĩ ũguo, atongori angĩ nĩ moigire atĩ nĩ megũthiĩ na mbere kũrũmĩrĩra watho wa kũgiria andũ kũhumba nguo cia gũthambĩra cia atumia ciĩtagwo burkini. "
atumia cii tagwo burkini,6,"O na kũrĩ ũguo, atongori angĩ nĩ moigire atĩ nĩ megũthiĩ na mbere kũrũmĩrĩra watho wa kũgiria andũ kũhumba nguo cia gũthambĩra cia atumia ciĩtagwo burkini. "
nguo cia gũthambĩra cia atumia,6,"O na kũrĩ ũguo, atongori angĩ nĩ moigire atĩ nĩ megũthiĩ na mbere kũrũmĩrĩra watho wa kũgiria andũ kũhumba nguo cia gũthambĩra cia atumia ciĩtagwo burkini. "
cia gũthambĩra cia atumia cii,6,"O na kũrĩ ũguo, atongori angĩ nĩ moigire atĩ nĩ megũthiĩ na mbere kũrũmĩrĩra watho wa kũgiria andũ kũhumba nguo cia gũthambĩra cia atumia ciĩtagwo burkini. "
gũthambĩra cia atumia cii tagwo,6,"O na kũrĩ ũguo, atongori angĩ nĩ moigire atĩ nĩ megũthiĩ na mbere kũrũmĩrĩra watho wa kũgiria andũ kũhumba nguo cia gũthambĩra cia atumia ciĩtagwo burkini. "
cia atumia cii tagwo burkini,6,"O na kũrĩ ũguo, atongori angĩ nĩ moigire atĩ nĩ megũthiĩ na mbere kũrũmĩrĩra watho wa kũgiria andũ kũhumba nguo cia gũthambĩra cia atumia ciĩtagwo burkini. "
harĩ airĩtu na atumia,5,Nĩ gĩkĩro kĩrĩkũ arĩa mathondekaga mawatho bũrũri-inĩ wa Kenya mahotete kũheana kana kũhũthĩra ũhoro wa bata nĩguo kũgĩe na ũiguano na kũiguithania maũndũ ma gĩthomo harĩ airĩtu na atumia?
atumia angi,5,Nĩndĩramenyire nĩ kwarĩ na atumia angi Kenda arĩa mararĩ na ngwatanĩro ya wendo.
wa mwana na nyina,5,Heana cionereria cia kuonania ũgima wa  mwĩrĩ wa mwana na nyina
igana kĩa atumia,5,Gĩcunjĩ gĩa ikũmi na ithano harĩ igana kĩa atumia a mĩaka ikũmi na ĩtano nginyagia ikũmi na kenda managĩa nda
kĩa atumia a,5,Gĩcunjĩ gĩa ikũmi na ithano harĩ igana kĩa atumia a mĩaka ikũmi na ĩtano nginyagia ikũmi na kenda managĩa nda
harĩ igana kĩa atumia,5,Gĩcunjĩ gĩa ikũmi na ithano harĩ igana kĩa atumia a mĩaka ikũmi na ĩtano nginyagia ikũmi na kenda managĩa nda
atumia a mĩaka ikũmi,5,Gĩcunjĩ gĩa ikũmi na ithano harĩ igana kĩa atumia a mĩaka ikũmi na ĩtano nginyagia ikũmi na kenda managĩa nda
atumia a mĩaka ikũmi na,5,Gĩcunjĩ gĩa ikũmi na ithano harĩ igana kĩa atumia a mĩaka ikũmi na ĩtano nginyagia ikũmi na kenda managĩa nda
atumia ana,5,Makĩria ma atumia ana harĩ ikũmi arĩa marĩ kĩhiko inĩ n ĩmarenda kũnyihia kũgĩa ciana
atumia arĩa marĩ kĩhiko,5,Gĩcunjĩ kĩa mĩrongo ĩtandatũ na ithatũ harĩ igana kĩa atumia arĩa marĩ kĩhiko inĩ nĩmatũmagĩra njĩra cia kũgiria kuoha nda gĩcunjĩ kĩa mĩrongo ĩtano  na mũgwanja gĩgĩtũmĩra njĩra cia kĩĩrĩu
kĩa atumia arĩa marĩ kĩhiko,5,Gĩcunjĩ kĩa mĩrongo ĩtandatũ na ithatũ harĩ igana kĩa atumia arĩa marĩ kĩhiko inĩ nĩmatũmagĩra njĩra cia kũgiria kuoha nda gĩcunjĩ kĩa mĩrongo ĩtano  na mũgwanja gĩgĩtũmĩra njĩra cia kĩĩrĩu
atumia arĩa marĩ kĩhiko inĩ,5,Gĩcunjĩ kĩa mĩrongo ĩtandatũ na ithatũ harĩ igana kĩa atumia arĩa marĩ kĩhiko inĩ nĩmatũmagĩra njĩra cia kũgiria kuoha nda gĩcunjĩ kĩa mĩrongo ĩtano  na mũgwanja gĩgĩtũmĩra njĩra cia kĩĩrĩu
mũigana wa atumia,5,Athomi a sayansi kuuma Bũrũri wa Austria moigaga atĩ mũigana wa atumia arĩa makuaga hĩndĩ ya gũciara nĩ ũnyihĩte nĩ ũndũ wa gũciara na njĩra ya gũthĩnjwo
mũthuri ti samatta,5,Mũthuri ti Samatta: mashabĩki ake a mũciĩ kũũrĩa Mbagala marauga atia?
kwĩ mũtumia,5,"Rita rĩmwe he matatũ, thĩna wa kwaga kũgĩa mwana nĩ wonekanaga umĩte kwĩ mũtumia."
rwa mũtumia,5,Mũrimũ wa malarĩa ũrehagwo nĩ rwagĩ rwa mũtumia nĩruo Anophele
mũthuri waku,5,Ũyũ nĩwe mũthuri waku?
harĩ mwana na nyina,5,kuongithia mwana ithaa rĩa mbere aciarũo nĩkũega harĩ mwana na nyina
