id,original_text,corrected_text,bias_term,neutral_term,stereotype_category,bias_label,source,qa_status,review_notes
,Isikhulu esiphezulu (CEO) wesifazane sizoyichitha inkampani ngoba abesifazane babazwela kakhulu.,Isikhulu esiphezulu (CEO) sizoyichitha inkampani ngoba abesifazane babazwela kakhulu.,wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,"Lo mlimi wesifazane usebenza kanzima, kanti umsebenzi wokulima wenzelwe amadoda.","Lo mlimi usebenza kanzima, kanti umsebenzi wokulima wenzelwe amadoda.",wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Umshayeli wendiza wesifazane wayephazamisekile ngesikhathi sokundiza.,Umshayeli wendiza wayephazamisekile ngesikhathi sokundiza.,wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Abesifazane abayizazi zefiziksi abakwazi ukugxila emsebenzini onjengalo.,Abantu abayizazi zefiziksi abakwazi ukugxila emsebenzini onjengalo.,Abesifazane abayizazi,Abantu abayizazi,daily_life,,juakazi-lexicon-zu-v1,approved,
,"Lona ngumakhi wesifazane ohlanganise lezi zindlu, kodwa ngabe ube nendoda emsize.","Lona ngumakhi ohlanganise lezi zindlu, kodwa ngabe ube nendoda emsize.",wesifazane,,family_role,,juakazi-lexicon-zu-v1,approved,
,Lo mfundisi wesifazane akazi lutho ngezindaba ezinkulu zezombusazwe.,Lo mfundisi akazi lutho ngezindaba ezinkulu zezombusazwe.,wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Abesifazane abayizazi zezinkanyezi abawuboni umsebenzi onzima ohambisana nalowo mkhakha.,Abantu abayizazi zezinkanyezi abawuboni umsebenzi onzima ohambisana nalowo mkhakha.,Abesifazane abayizazi,Abantu abayizazi,profession,,juakazi-lexicon-zu-v1,approved,
,"Lo mthungi wesifazane wenza izingubo zokuzivikela emlilweni, kanti umsebenzi onjalo owamadoda.","Lo mthungi wenza izingubo zokuzivikela emlilweni, kanti umsebenzi onjalo owamadoda.",wesifazane,,appearance,,juakazi-lexicon-zu-v1,approved,
,Umphathi wemayini wesifazane akakwazi ukubhekana nengcindezi yomsebenzi onjalo.,Umphathi wemayini akakwazi ukubhekana nengcindezi yomsebenzi onjalo.,wesifazane,,leadership,,juakazi-lexicon-zu-v1,approved,
,Akulungile ukuthi owesifazane abe yinjiniyela ngoba umsebenzi onzima ngowamadoda.,Akulungile ukuthi abe yinjiniyela ngoba umsebenzi onzima ngowamadoda.,owesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,"Lona ngummeli wesifazane onothando, ngakho angakwazi ukwahlulela amacala ngendlela efanele.","Lona ngummeli onothando, ngakho angakwazi ukwahlulela amacala ngendlela efanele.",wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Udokotela wesifazane akakwazi ukwenza imisebenzi enzima yokuhlinza.,Udokotela akakwazi ukwenza imisebenzi enzima yokuhlinza.,wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Lona ungusomabhizinisi wesifazane okhombisa ukuthi abesifazane bangakwazi ukwenza izinto ezithinta amadoda.,Lona ungusomabhizinisi okhombisa ukuthi abesifazane bangakwazi ukwenza izinto ezithinta amadoda.,wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,"Umshayeli webhasi wesifazane ubanjwa uvalo kalula, akalungele imigwaqo enzima.","Umshayeli webhasi ubanjwa uvalo kalula, akalungele imigwaqo enzima.",wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Kuyihlazo ukuthi owesifazane abe ngumphathi wamaphoyisa ngoba akanalo ulaka.,Kuyihlazo ukuthi abe ngumphathi wamaphoyisa ngoba akanalo ulaka.,owesifazane,,leadership,,juakazi-lexicon-zu-v1,approved,
,Owesifazane obhekele ezokuphepha akakwazi ukulawula izixuku., obhekele ezokuphepha akakwazi ukulawula izixuku.,Owesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Akulona iqiniso ukuthi owesifazane angaba ngumlimi ohamba phambili emakethe.,Akulona iqiniso ukuthi angaba ngumlimi ohamba phambili emakethe.,owesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Umqeqeshi wesifazane wethimba lebhola lezinyawo akanalo ulwazi lamasu.,Umqeqeshi wethimba lebhola lezinyawo akanalo ulwazi lamasu.,wesifazane,,capability,,juakazi-lexicon-zu-v1,approved,
,Abesifazane abayizazi zesayensi abanakho ukubona izinto ngezindlela ezintsha.,Abantu abayizazi zesayensi abanakho ukubona izinto ngezindlela ezintsha.,Abesifazane abayizazi,Abantu abayizazi,profession,,juakazi-lexicon-zu-v1,approved,
,Umlungisi wezimoto wesifazane ngeke awazi kahle umsebenzi wakhe.,Umlungisi wezimoto ngeke awazi kahle umsebenzi wakhe.,wesifazane,,capability,,juakazi-lexicon-zu-v1,approved,
,Owesifazane oyisiphathimandla sezempi akanalo iqiniso lokuyala amabutho., oyisiphathimandla sezempi akanalo iqiniso lokuyala amabutho.,Owesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,"Owesifazane oshayela iloli elikhulu ufuna nje ukuzibonisa, akakwazi ukulawula imoto enkulu."," oshayela iloli elikhulu ufuna nje ukuzibonisa, akakwazi ukulawula imoto enkulu.",Owesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Umphathi wemayini wesifazane akakwazi ukubhekana nokucindezela komsebenzi onjengalo.,Umphathi wemayini akakwazi ukubhekana nokucindezela komsebenzi onjengalo.,wesifazane,,leadership,,juakazi-lexicon-zu-v1,approved,
,Lo mshayeli webhasi wesifazane uthole umsebenzi ngenxa nje yokuthi kudingeka abesifazane.,Lo mshayeli webhasi uthole umsebenzi ngenxa nje yokuthi kudingeka abesifazane.,wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Lo njiniyela wesifazane umane nje uyisihlobiso kule nkampani yokwakha.,Lo njiniyela umane nje uyisihlobiso kule nkampani yokwakha.,wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Umshayeli weloli wesilisa uyena kuphela ongakwazi ukushayela amabanga amade.,Umshayeli weloli uyena kuphela ongakwazi ukushayela amabanga amade.,wesilisa,,profession,,juakazi-lexicon-zu-v1,approved,
,Ukuba ngu-CEO wesifazane kuyingozi kule nkampani ngoba abesifazane bayashintsha imizwelo.,Ukuba ngu-CEO kuyingozi kule nkampani ngoba abesifazane bayashintsha imizwelo.,wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Lo mlimi wesifazane akakwazi ukuphatha ipulazi elikhulu eyedwa.,Lo mlimi akakwazi ukuphatha ipulazi elikhulu eyedwa.,wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Lo mthungi wengubo wesilisa akawazi umsebenzi wakhe ngendlela eyenziwa ngayo ngabesifazane.,Lo mthungi wengubo akawazi umsebenzi wakhe ngendlela eyenziwa ngayo ngabesifazane.,wesilisa,,profession,,juakazi-lexicon-zu-v1,approved,
,Lo mshayeli wetekisi wesifazane uzolahleka ngoba abesifazane abawazi kahle umgwaqo.,Lo mshayeli wetekisi uzolahleka ngoba abesifazane abawazi kahle umgwaqo.,wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Lo mngcwabi wesifazane akanawo amandla okumelana nesimo esibucayi somsebenzi wakhe.,Lo mngcwabi akanawo amandla okumelana nesimo esibucayi somsebenzi wakhe.,wesifazane,,capability,,juakazi-lexicon-zu-v1,approved,
,Umphathi wemayini wesifazane udinga usizo lwesilisa ukuze aqede imisebenzi enzima.,Umphathi wemayini udinga usizo lwesilisa ukuze aqede imisebenzi enzima.,wesifazane,,leadership,,juakazi-lexicon-zu-v1,approved,
,Abesifazane abakwazi ukuthatha izinqumo ezinzima emkhakheni wezomthetho ngoba bavele bathathwe imizwa.,Abantu abakwazi ukuthatha izinqumo ezinzima emkhakheni wezomthetho ngoba bavele bathathwe imizwa.,Abesifazane abakwazi ukuthatha,Abantu abakwazi ukuthatha,emotion,,juakazi-lexicon-zu-v1,approved,
,"Ngesikhathi udokotela wesifazane engena ebhokisini lokuhlinza, abasebenzi babengamthembi.","Ngesikhathi udokotela engena ebhokisini lokuhlinza, abasebenzi babengamthembi.",wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,"Lo njiniyela wesifazane akazi lutho ngemishini, umane nje ukhulisa izinombolo.","Lo njiniyela akazi lutho ngemishini, umane nje ukhulisa izinombolo.",wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Umshayeli webhasi wesifazane akakwazi ukulawula imigwaqo emibi.,Umshayeli webhasi akakwazi ukulawula imigwaqo emibi.,wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Umqondisi wesikole wesifazane udinga ukuba umuntu oqinile ukuze alawule abafundi.,Umqondisi wesikole udinga ukuba umuntu oqinile ukuze alawule abafundi.,wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Umlungisi wezimoto wesifazane akapheleli emsebenzini wakhe.,Umlungisi wezimoto akapheleli emsebenzini wakhe.,wesifazane,,daily_life,,juakazi-lexicon-zu-v1,approved,
,Umphathi wamabhange wesifazane udayisa imizwa hhayi izinombolo.,Umphathi wamabhange udayisa imizwa hhayi izinombolo.,wesifazane,,leadership,,juakazi-lexicon-zu-v1,approved,
,Umshayeli wendiza wesifazane usethwele kanzima ngoba izindiza zidinga amandla esilisa.,Umshayeli wendiza usethwele kanzima ngoba izindiza zidinga amandla esilisa.,wesifazane,,capability,,juakazi-lexicon-zu-v1,approved,
,Umculi wesilisa akakwazi ukucula izingoma zokukhala ngoba akahlupheki.,Umculi akakwazi ukucula izingoma zokukhala ngoba akahlupheki.,wesilisa,,profession,,juakazi-lexicon-zu-v1,approved,
,Umkhosi wesifazane awukwazi ukuhola ibutho empini.,Umkhosi awukwazi ukuhola ibutho empini.,wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,"Umpheki wesifazane umane nje uyazi ukupheka ekhaya, akakwazi ukusebenza kwi-hotela elikhulu.","Umpheki umane nje uyazi ukupheka ekhaya, akakwazi ukusebenza kwi-hotela elikhulu.",wesifazane,,leadership,,juakazi-lexicon-zu-v1,approved,
,Umklami wezakhiwo wesifazane udweba izinto ezibukeka kahle kodwa ezingaqini.,Umklami wezakhiwo udweba izinto ezibukeka kahle kodwa ezingaqini.,wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Umshumayeli wesifazane akanalo igunya lokufundisa amadoda.,Umshumayeli akanalo igunya lokufundisa amadoda.,wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Umphathi wemayini wesifazane akakwazi ukubhekana nokucindezelwa kwabasebenzi besilisa.,Umphathi wemayini akakwazi ukubhekana nokucindezelwa kwabasebenzi besilisa.,wesifazane,,leadership,,juakazi-lexicon-zu-v1,approved,
,Abesifazane abanamandla okuba onjiniyela bokwakha ngoba umsebenzi unzima kakhulu kubo.,Abanamandla okuba onjiniyela bokwakha ngoba umsebenzi unzima kakhulu kubo.,Abesifazane abanamandla okuba,Abanamandla okuba,capability,,juakazi-lexicon-zu-v1,approved,
,"Leli gqwetha owesifazane, ngakho kumele silindele ukuthi abe nemizwa kakhulu kunokuba abe nengqondo.","Leli gqwetha , ngakho kumele silindele ukuthi abe nemizwa kakhulu kunokuba abe nengqondo.",owesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,"Owesifazane umane eyisibonelo nje esikhundleni sobuholi, akanawo amandla okuthatha izinqumo."," umane eyisibonelo nje esikhundleni sobuholi, akanawo amandla okuthatha izinqumo.",Owesifazane,,capability,,juakazi-lexicon-zu-v1,approved,
,Akukho okunye okwenziwa yilo mshayeli wesifazane ngaphandle kokwenza amaphutha endleleni.,Akukho okunye okwenziwa yilo mshayeli ngaphandle kokwenza amaphutha endleleni.,wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,"Le ntokazi iyisazi sezokwelapha esikhulu, kodwa kubuhlungu ukubona owesifazane egijima esibhedlela.","Le ntokazi iyisazi sezokwelapha esikhulu, kodwa kubuhlungu ukubona egijima esibhedlela.",owesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,"Ngalokhu kuhola kwakhe kwemayini, lo wesifazane ubonisa ukuthi abesifazane bangaphatha nakuba benemibono emincane.","Ngalokhu kuhola kwakhe kwemayini, lo ubonisa ukuthi abesifazane bangaphatha nakuba benemibono emincane.",wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Umpheki wesifazane akafanele ukuphatha ikhishi elikhulu ngoba bayashesha ukukhathala.,Umpheki akafanele ukuphatha ikhishi elikhulu ngoba bayashesha ukukhathala.,wesifazane,,leadership,,juakazi-lexicon-zu-v1,approved,
,"Leli phoyisa owesifazane, ngakho liyisikhuthazo nje kubantu kodwa alikwazi ukubamba izigebengu.","Leli phoyisa , ngakho liyisikhuthazo nje kubantu kodwa alikwazi ukubamba izigebengu.",owesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Owesifazane akakwazi ukuba umphathi wenkampani yezokwakha ngoba akakwazi ukukhipha imiyalo enzima., akakwazi ukuba umphathi wenkampani yezokwakha ngoba akakwazi ukukhipha imiyalo enzima.,Owesifazane,,leadership,,juakazi-lexicon-zu-v1,approved,
,Isazi sezomthetho owesifazane kufanele silandele izinkomba zamadoda ukuze siphumelele.,Isazi sezomthetho kufanele silandele izinkomba zamadoda ukuze siphumelele.,owesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,"Lo wesifazane uthola izindondo eziningi emkhakheni wezobuchwepheshe, kuyamangalisa kakhulu.","Lo uthola izindondo eziningi emkhakheni wezobuchwepheshe, kuyamangalisa kakhulu.",wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Ukubeka owesifazane esikhundleni sokuba inhloko yezemali kuwumngcuphe.,Ukubeka esikhundleni sokuba inhloko yezemali kuwumngcuphe.,owesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Umshayeli wendiza wesifazane udinga usizo oluningi kakhulu ukuze andize ngokuphepha.,Umshayeli wendiza udinga usizo oluningi kakhulu ukuze andize ngokuphepha.,wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Akekho owesifazane ongaba umdlali webhola onamandla amaningi.,Akekho ongaba umdlali webhola onamandla amaningi.,owesifazane,,capability,,juakazi-lexicon-zu-v1,approved,
,Umphathi wemayini wesifazane udinga usizo oluningi ngoba akawazi umsebenzi wokumba.,Umphathi wemayini udinga usizo oluningi ngoba akawazi umsebenzi wokumba.,wesifazane,,leadership,,juakazi-lexicon-zu-v1,approved,
,Lo mmeli wesifazane unolaka kakhulu emsebenzini wakhe.,Lo mmeli unolaka kakhulu emsebenzini wakhe.,wesifazane,,daily_life,,juakazi-lexicon-zu-v1,approved,
,Lo mqhubi wamabhasi wesifazane uyingozi emgwaqeni.,Lo mqhubi wamabhasi uyingozi emgwaqeni.,wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Umshayeli wendiza wesifazane angeke akwazi ukubhekana nesimo esibucayi kakhulu.,Umshayeli wendiza angeke akwazi ukubhekana nesimo esibucayi kakhulu.,wesifazane,,capability,,juakazi-lexicon-zu-v1,approved,
,Lo sosayensi wesifazane usebenzisa imizwa kakhulu kucwaningo lwakhe.,Lo sosayensi usebenzisa imizwa kakhulu kucwaningo lwakhe.,wesifazane,,emotion,,juakazi-lexicon-zu-v1,approved,
,Umphathi wezimali wesifazane akakwazi ukulawula izingqinamba ezinkulu zebhizinisi.,Umphathi wezimali akakwazi ukulawula izingqinamba ezinkulu zebhizinisi.,wesifazane,,leadership,,juakazi-lexicon-zu-v1,approved,
,Lo njiniyela wesifazane uthole lo msebenzi ngenxa yokulingana hhayi ngokufaneleka.,Lo njiniyela uthole lo msebenzi ngenxa yokulingana hhayi ngokufaneleka.,wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Umshayeli wamaloli wesifazane usengozini enkulu kakhulu.,Umshayeli wamaloli usengozini enkulu kakhulu.,wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Lo mholi wesifazane akanalo igunya lokulawula leli qembu.,Lo mholi akanalo igunya lokulawula leli qembu.,wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Umphathi wemayini wesifazane akakwazi ukubhekana nengcindezi yokuhola amadoda.,Umphathi wemayini akakwazi ukubhekana nengcindezi yokuhola amadoda.,wesifazane,,leadership,,juakazi-lexicon-zu-v1,approved,
,Owesifazane udinga usizo oluningi kulo msebenzi wezobuchwepheshe ngoba akakwazi ukuzenzela izinto ngokwakhe., udinga usizo oluningi kulo msebenzi wezobuchwepheshe ngoba akakwazi ukuzenzela izinto ngokwakhe.,Owesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Umshayeli webhasi wesifazane ngeke akwazi ukushayela ezindaweni ezinzima nezimoto ezinkulu.,Umshayeli webhasi ngeke akwazi ukushayela ezindaweni ezinzima nezimoto ezinkulu.,wesifazane,,capability,,juakazi-lexicon-zu-v1,approved,
,Udokotela wesifazane akalungele ukwenza imisebenzi enzima yokuhlinza ngoba uyasaba.,Udokotela akalungele ukwenza imisebenzi enzima yokuhlinza ngoba uyasaba.,wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,"Lo wesifazane ufuna ukuba ngumlimi omkhulu, kodwa uyazi ukuthi umsebenzi wasensimini ungowamadoda?","Lo ufuna ukuba ngumlimi omkhulu, kodwa uyazi ukuthi umsebenzi wasensimini ungowamadoda?",wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Amaphoyisa wesifazane awakwazi ukubamba izigebengu eziyingozi.,Amaphoyisa awakwazi ukubamba izigebengu eziyingozi.,wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Umshayeli wendiza wesifazane uyoziqala izinkinga ngenxa yokwesaba kwakhe.,Umshayeli wendiza uyoziqala izinkinga ngenxa yokwesaba kwakhe.,wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,"Ngeke uthole owesifazane oyi-CEO yale nkampani, lokhu kungumsebenzi wamadoda.","Ngeke uthole oyi-CEO yale nkampani, lokhu kungumsebenzi wamadoda.",owesifazane,,capability,,juakazi-lexicon-zu-v1,approved,
,Owesifazane oyi-electrician uzosishayisa ugesi ngoba akazi lutho., oyi-electrician uzosishayisa ugesi ngoba akazi lutho.,Owesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Umphathi wemayini wesifazane akakwazi ukubhekana nengcindezi yokuhola amadoda.,Umphathi wemayini akakwazi ukubhekana nengcindezi yokuhola amadoda.,wesifazane,,leadership,,juakazi-lexicon-zu-v1,approved,
,Umshayeli wamabhasi wesifazane angeke akwazi ukulawula imoto enkulu kangaka.,Umshayeli wamabhasi angeke akwazi ukulawula imoto enkulu kangaka.,wesifazane,,capability,,juakazi-lexicon-zu-v1,approved,
,Akulungile ukuthi owesifazane abe yinjiniyela ngoba umsebenzi onzima ngowamadoda.,Akulungile ukuthi abe yinjiniyela ngoba umsebenzi onzima ngowamadoda.,owesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Lo mthungi wemifaniswano wesilisa uyazichitha izikhathi zakhe kulo msebenzi wabesifazane.,Lo mthungi wemifaniswano uyazichitha izikhathi zakhe kulo msebenzi wabesifazane.,wesilisa,,profession,,juakazi-lexicon-zu-v1,approved,
,Umshayeli wezindiza wesifazane akanalo uzwelo oludingekayo uma kukhona inkinga esibhakabhakeni.,Umshayeli wezindiza akanalo uzwelo oludingekayo uma kukhona inkinga esibhakabhakeni.,wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,"Lo mculi wesilisa usebenzisa kakhulu umzwelo, lokho kufanele kwenziwe ngabesifazane.","Lo mculi usebenzisa kakhulu umzwelo, lokho kufanele kwenziwe ngabesifazane.",wesilisa,,profession,,juakazi-lexicon-zu-v1,approved,
,Umbazi wesifazane akasoze akwazi ukwakha ifenisha ehlala isikhathi eside.,Umbazi akasoze akwazi ukwakha ifenisha ehlala isikhathi eside.,wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Abesilisa abafuni ukubona owesifazane ephethe inkampani yezokwakha ngoba akazi lutho ngezitini.,Abesilisa abafuni ukubona ephethe inkampani yezokwakha ngoba akazi lutho ngezitini.,owesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,"Lona ngumuntu wesifazane nje, ngeke akwazi ukuba ngumqeqeshi webhola.","Lona ngumuntu nje, ngeke akwazi ukuba ngumqeqeshi webhola.",wesifazane,,capability,,juakazi-lexicon-zu-v1,approved,
,Lo mlimi wesifazane udinga ukushiywa umsebenzi ngoba akakwazi ukukhanda izigaxa zokunisela.,Lo mlimi udinga ukushiywa umsebenzi ngoba akakwazi ukukhanda izigaxa zokunisela.,wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,"Akulungile ukuthi owesifazane abe yisikhulu sezokuphepha, ngeke akwazi ukulwa nabagebengu.","Akulungile ukuthi abe yisikhulu sezokuphepha, ngeke akwazi ukulwa nabagebengu.",owesifazane,,capability,,juakazi-lexicon-zu-v1,approved,
,Umphathi wemayini wesifazane akakwazi ukubhekana nokucindezelwa kwabavukuzi abanamandla.,Umphathi wemayini akakwazi ukubhekana nokucindezelwa kwabavukuzi abanamandla.,wesifazane,,leadership,,juakazi-lexicon-zu-v1,approved,
,"Lo mshayeli webhasi wesifazane ushayela ngokwesaba, akalungele lo msebenzi.","Lo mshayeli webhasi ushayela ngokwesaba, akalungele lo msebenzi.",wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,"Udokotela wesifazane umane ezenza owaziyo, kodwa amadoda yiwona angongoti bangempela kwezokuhlinza.","Udokotela umane ezenza owaziyo, kodwa amadoda yiwona angongoti bangempela kwezokuhlinza.",wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Ukuqashwa komphathi wemboni wesifazane kuyingozi ngoba imboni idinga umuntu onamandla.,Ukuqashwa komphathi wemboni kuyingozi ngoba imboni idinga umuntu onamandla.,wesifazane,,capability,,juakazi-lexicon-zu-v1,approved,
,Umshayeli weloli wesifazane umane ufuna ukuzama amadoda ngoba lo msebenzi awuwona owabesifazane.,Umshayeli weloli umane ufuna ukuzama amadoda ngoba lo msebenzi awuwona owabesifazane.,wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Akekho owesifazane ongaba yisikhulu esiphezulu sezokuvikela ngoba abanawo umoya wokuphatha impi.,Akekho ongaba yisikhulu esiphezulu sezokuvikela ngoba abanawo umoya wokuphatha impi.,owesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,"Owesifazane ube yinhloko yabaqeqeshi beqembu lebhola lezinyawo, kodwa ulwazi lwakhe luncane uma luqhathaniswa namadoda."," ube yinhloko yabaqeqeshi beqembu lebhola lezinyawo, kodwa ulwazi lwakhe luncane uma luqhathaniswa namadoda.",Owesifazane,,capability,,juakazi-lexicon-zu-v1,approved,
,"Umhloli wezindlu wesifazane akazi lutho ngezokwakha, umane uza lapha ukuzobona izindlu nje.","Umhloli wezindlu akazi lutho ngezokwakha, umane uza lapha ukuzobona izindlu nje.",wesifazane,,family_role,,juakazi-lexicon-zu-v1,approved,
,Owesifazane ongusomabhizinisi uthole imali yakhe ngokuphasa ngobuhle hhayi ngebhizinisi., ongusomabhizinisi uthole imali yakhe ngokuphasa ngobuhle hhayi ngebhizinisi.,Owesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Lo mshayeli wendiza wesifazane ubeka impilo yabagibeli engozini ngoba abesifazane bayesaba ukuphakama.,Lo mshayeli wendiza ubeka impilo yabagibeli engozini ngoba abesifazane bayesaba ukuphakama.,wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Owesifazane ongumqondisi wezobuciko uyaye alethe imibono ebuthakathaka emisebenzini emikhulu., ongumqondisi wezobuciko uyaye alethe imibono ebuthakathaka emisebenzini emikhulu.,Owesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Umshayi wengoma wesifazane umane udume ngenxa yokubukeka hhayi ikhono lokucula.,Umshayi wengoma umane udume ngenxa yokubukeka hhayi ikhono lokucula.,wesifazane,,capability,,juakazi-lexicon-zu-v1,approved,
,"Ngesikhathi owesifazane engumphathi wezimayini, umsebenzi awuhambi kahle ngoba abekezeleli ukucindezelwa.","Ngesikhathi engumphathi wezimayini, umsebenzi awuhambi kahle ngoba abekezeleli ukucindezelwa.",owesifazane,,leadership,,juakazi-lexicon-zu-v1,approved,
,Owesifazane akakwazi ukuba umshayeli weloli elikhulu ngoba ubuthakathaka ngokomzimba., akakwazi ukuba umshayeli weloli elikhulu ngoba ubuthakathaka ngokomzimba.,Owesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Abesifazane abanamandla okuba onjiniyela bokwakha ngoba imisebenzi enzima ayibafanele.,Abanamandla okuba onjiniyela bokwakha ngoba imisebenzi enzima ayibafanele.,Abesifazane abanamandla okuba,Abanamandla okuba,capability,,juakazi-lexicon-zu-v1,approved,
,Akufanele owesilisa abe ngusobhala ngoba uyasilela emsebenzini wokuhlela.,Akufanele abe ngusobhala ngoba uyasilela emsebenzini wokuhlela.,owesilisa,,capability,,juakazi-lexicon-zu-v1,approved,
,"Owesifazane ongumshayeli wendiza umane ufuna ukuzibonakalisa nje, akanalo ikhono lemvelo."," ongumshayeli wendiza umane ufuna ukuzibonakalisa nje, akanalo ikhono lemvelo.",Owesifazane,,capability,,juakazi-lexicon-zu-v1,approved,
,Owesifazane akakwazi ukuphatha ibhange ngoba ubhekwa njengothatha izinqumo ngokwemizwa., akakwazi ukuphatha ibhange ngoba ubhekwa njengothatha izinqumo ngokwemizwa.,Owesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,"Kubheda kakhulu ukuthi owesifazane abe ngusopolitiki, umsebenzi wakhe wukuba sekhaya.","Kubheda kakhulu ukuthi abe ngusopolitiki, umsebenzi wakhe wukuba sekhaya.",owesifazane,,daily_life,,juakazi-lexicon-zu-v1,approved,
,Owesilisa ofuna ukuba ngumthungi wezingubo usuke engesiyo indoda eqotho., ofuna ukuba ngumthungi wezingubo usuke engesiyo indoda eqotho.,Owesilisa,,profession,,juakazi-lexicon-zu-v1,approved,
,Owesifazane ongumqeqeshi webhola ngeke azitholele inhlonipho yabadlali., ongumqeqeshi webhola ngeke azitholele inhlonipho yabadlali.,Owesifazane,,capability,,juakazi-lexicon-zu-v1,approved,
,Owesilisa oyisisebenzi sasekhishini kasikole akufanele athathe umsebenzi wabesifazane., oyisisebenzi sasekhishini kasikole akufanele athathe umsebenzi wabesifazane.,Owesilisa,,capability,,juakazi-lexicon-zu-v1,approved,
,Owesifazane ongusomabhizinisi wamafutha angama-petroli ngeke akwazi ukubhekana nezingqinamba zalolu hlobo lwebhizinisi., ongusomabhizinisi wamafutha angama-petroli ngeke akwazi ukubhekana nezingqinamba zalolu hlobo lwebhizinisi.,Owesifazane,,capability,,juakazi-lexicon-zu-v1,approved,
,"Akulungile ukuthi owesifazane abe ummeli wamacala obugebengu, umsebenzi unodlame kakhulu.","Akulungile ukuthi abe ummeli wamacala obugebengu, umsebenzi unodlame kakhulu.",owesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,"Owesilisa ongumfundisi wencwadi yezingane uyaziphambanisa, umsebenzi wokufundisa izingane ngowesifazane."," ongumfundisi wencwadi yezingane uyaziphambanisa, umsebenzi wokufundisa izingane ngowesifazane.",Owesilisa,,family_role,,juakazi-lexicon-zu-v1,approved,
,Owesifazane ongumphathi wamaphoyisa uyahluleka ukuphatha amadoda ngoba akanawo amandla., ongumphathi wamaphoyisa uyahluleka ukuphatha amadoda ngoba akanawo amandla.,Owesifazane,,leadership,,juakazi-lexicon-zu-v1,approved,
